AcademiaFreq_Project_Data
Issue Key;Issue Type;Summary;Description;Priority;Status;Assignee;Reporter;Epic Link;Sprint;Story Points;Labels;Created;Due Date;Original Estimate;Time Spent;Components
FREQ-101;Story;Timeout de QR Code (expiração);Como usuário, eu quero timeout de qr code (expiração) para melhorar a experiência com o app de frequência acadêmica.;High;Done;Pedro Almeida;Maria Silva;EPIC-2;Sprint 2;2;sprint-2,epic-2;2026-01-14;2026-02-02;16h;12h;Module-2
FREQ-102;Task;Design UI/UX - Timeout de QR Code (expiração);Realizar design ui/ux para a funcionalidade: Timeout de QR Code (expiração);High;Done;Juliana Souza;João Santos;EPIC-2;Sprint 2;;task,design-ui/ux;2026-01-15;2026-02-02;4h;3h;Module-2
FREQ-103;Task;Implementação Backend - Timeout de QR Code (expiração);Realizar implementação backend para a funcionalidade: Timeout de QR Code (expiração);High;Done;Carlos Mendes;João Santos;EPIC-2;Sprint 2;;task,implementação-backend;2026-01-15;2026-02-02;4h;4h;Module-2
FREQ-104;Task;Implementação Frontend Web - Timeout de QR Code (expiração);Realizar implementação frontend web para a funcionalidade: Timeout de QR Code (expiração);High;Done;Beatriz Costa;João Santos;EPIC-2;Sprint 2;;task,implementação-frontend-web;2026-01-15;2026-02-02;4h;3h;Module-2
FREQ-105;Task;Testes Unitários - Timeout de QR Code (expiração);Realizar testes unitários para a funcionalidade: Timeout de QR Code (expiração);High;Done;Rafael Lima;João Santos;EPIC-2;Sprint 2;;task,testes-unitários;2026-01-15;2026-02-02;2h;2h;Module-2
FREQ-106;Task;Code Review - Timeout de QR Code (expiração);Realizar code review para a funcionalidade: Timeout de QR Code (expiração);High;Done;Ana Oliveira;João Santos;EPIC-2;Sprint 2;;task,code-review;2026-01-15;2026-02-02;4h;3h;Module-2
FREQ-107;Story;Reconhecimento facial para presença;Como usuário, eu quero reconhecimento facial para presença para melhorar a experiência com o app de frequência acadêmica.;Low;Done;Beatriz Costa;Maria Silva;EPIC-2;Sprint 3;13;sprint-3,epic-2;2026-01-27;2026-02-16;104h;78h;Module-2
FREQ-108;Task;Design UI/UX - Reconhecimento facial para presença;Realizar design ui/ux para a funcionalidade: Reconhecimento facial para presença;Low;Done;Juliana Souza;João Santos;EPIC-2;Sprint 3;;task,design-ui/ux;2026-01-28;2026-02-16;4h;3h;Module-2
FREQ-109;Task;Implementação Backend - Reconhecimento facial para presença;Realizar implementação backend para a funcionalidade: Reconhecimento facial para presença;Low;Done;Carlos Mendes;João Santos;EPIC-2;Sprint 3;;task,implementação-backend;2026-01-28;2026-02-16;31h;27h;Module-2
FREQ-110;Task;Implementação Frontend Web - Reconhecimento facial para presença;Realizar implementação frontend web para a funcionalidade: Reconhecimento facial para presença;Low;Done;Beatriz Costa;João Santos;EPIC-2;Sprint 3;;task,implementação-frontend-web;2026-01-28;2026-02-16;26h;22h;Module-2
FREQ-111;Task;Implementação Mobile - Reconhecimento facial para presença;Realizar implementação mobile para a funcionalidade: Reconhecimento facial para presença;Low;Done;Pedro Almeida;João Santos;EPIC-2;Sprint 3;;task,implementação-mobile;2026-01-28;2026-02-16;26h;22h;Module-2
FREQ-112;Task;Testes Unitários - Reconhecimento facial para presença;Realizar testes unitários para a funcionalidade: Reconhecimento facial para presença;Low;Done;Rafael Lima;João Santos;EPIC-2;Sprint 3;;task,testes-unitários;2026-01-28;2026-02-16;15h;13h;Module-2
FREQ-113;Task;Testes E2E - Reconhecimento facial para presença;Realizar testes e2e para a funcionalidade: Reconhecimento facial para presença;Low;Done;Rafael Lima;João Santos;EPIC-2;Sprint 3;;task,testes-e2e;2026-01-28;2026-02-16;15h;13h;Module-2
FREQ-114;Task;Code Review - Reconhecimento facial para presença;Realizar code review para a funcionalidade: Reconhecimento facial para presença;Low;Done;Ana Oliveira;João Santos;EPIC-2;Sprint 3;;task,code-review;2026-01-28;2026-02-16;4h;3h;Module-2
FREQ-115;Task;Documentação - Reconhecimento facial para presença;Realizar documentação para a funcionalidade: Reconhecimento facial para presença;Low;Done;João Santos;João Santos;EPIC-2;Sprint 3;;task,documentação;2026-01-28;2026-02-16;8h;7h;Module-2
FREQ-116;Story;Cadastro de disciplinas;Como usuário, eu quero cadastro de disciplinas para melhorar a experiência com o app de frequência acadêmica.;High;To Do;Beatriz Costa;Maria Silva;EPIC-3;Sprint 3;3;sprint-3,epic-3;2026-01-27;2026-02-16;24h;;Module-3
FREQ-117;Task;Design UI/UX - Cadastro de disciplinas;Realizar design ui/ux para a funcionalidade: Cadastro de disciplinas;High;To Do;Juliana Souza;João Santos;EPIC-3;Sprint 3;;task,design-ui/ux;2026-01-28;2026-02-16;4h;;Module-3
FREQ-118;Task;Implementação Backend - Cadastro de disciplinas;Realizar implementação backend para a funcionalidade: Cadastro de disciplinas;High;To Do;Carlos Mendes;João Santos;EPIC-3;Sprint 3;;task,implementação-backend;2026-01-28;2026-02-16;7h;;Module-3
FREQ-119;Task;Implementação Frontend Web - Cadastro de disciplinas;Realizar implementação frontend web para a funcionalidade: Cadastro de disciplinas;High;To Do;Beatriz Costa;João Santos;EPIC-3;Sprint 3;;task,implementação-frontend-web;2026-01-28;2026-02-16;6h;;Module-3
FREQ-120;Task;Testes Unitários - Cadastro de disciplinas;Realizar testes unitários para a funcionalidade: Cadastro de disciplinas;High;To Do;Rafael Lima;João Santos;EPIC-3;Sprint 3;;task,testes-unitários;2026-01-28;2026-02-16;3h;;Module-3
FREQ-121;Task;Code Review - Cadastro de disciplinas;Realizar code review para a funcionalidade: Cadastro de disciplinas;High;To Do;Ana Oliveira;João Santos;EPIC-3;Sprint 3;;task,code-review;2026-01-28;2026-02-16;4h;;Module-3
FREQ-122;Story;Cadastro de turmas com horários;Como usuário, eu quero cadastro de turmas com horários para melhorar a experiência com o app de frequência acadêmica.;High;To Do;Carlos Mendes;Maria Silva;EPIC-3;Sprint 3;5;sprint-3,epic-3;2026-01-31;2026-02-16;40h;;Module-3
FREQ-123;Task;Design UI/UX - Cadastro de turmas com horários;Realizar design ui/ux para a funcionalidade: Cadastro de turmas com horários;High;To Do;Juliana Souza;João Santos;EPIC-3;Sprint 3;;task,design-ui/ux;2026-02-01;2026-02-16;4h;;Module-3
FREQ-124;Task;Implementação Backend - Cadastro de turmas com horários;Realizar implementação backend para a funcionalidade: Cadastro de turmas com horários;High;To Do;Carlos Mendes;João Santos;EPIC-3;Sprint 3;;task,implementação-backend;2026-02-01;2026-02-16;12h;;Module-3
FREQ-125;Task;Implementação Frontend Web - Cadastro de turmas com horários;Realizar implementação frontend web para a funcionalidade: Cadastro de turmas com horários;High;To Do;Beatriz Costa;João Santos;EPIC-3;Sprint 3;;task,implementação-frontend-web;2026-02-01;2026-02-16;10h;;Module-3
FREQ-126;Task;Implementação Mobile - Cadastro de turmas com horários;Realizar implementação mobile para a funcionalidade: Cadastro de turmas com horários;High;To Do;Pedro Almeida;João Santos;EPIC-3;Sprint 3;;task,implementação-mobile;2026-02-01;2026-02-16;10h;;Module-3
FREQ-127;Task;Testes Unitários - Cadastro de turmas com horários;Realizar testes unitários para a funcionalidade: Cadastro de turmas com horários;High;To Do;Rafael Lima;João Santos;EPIC-3;Sprint 3;;task,testes-unitários;2026-02-01;2026-02-16;6h;;Module-3
FREQ-128;Task;Testes E2E - Cadastro de turmas com horários;Realizar testes e2e para a funcionalidade: Cadastro de turmas com horários;High;To Do;Rafael Lima;João Santos;EPIC-3;Sprint 3;;task,testes-e2e;2026-02-01;2026-02-16;6h;;Module-3
FREQ-129;Task;Code Review - Cadastro de turmas com horários;Realizar code review para a funcionalidade: Cadastro de turmas com horários;High;To Do;Ana Oliveira;João Santos;EPIC-3;Sprint 3;;task,code-review;2026-02-01;2026-02-16;4h;;Module-3
FREQ-130;Story;Vincular alunos a turmas;Como usuário, eu quero vincular alunos a turmas para melhorar a experiência com o app de frequência acadêmica.;High;Done;Beatriz Costa;Maria Silva;EPIC-3;Sprint 3;3;sprint-3,epic-3;2026-01-30;2026-02-16;24h;18h;Module-3
FREQ-131;Task;Design UI/UX - Vincular alunos a turmas;Realizar design ui/ux para a funcionalidade: Vincular alunos a turmas;High;Done;Juliana Souza;João Santos;EPIC-3;Sprint 3;;task,design-ui/ux;2026-01-31;2026-02-16;4h;3h;Module-3
FREQ-132;Task;Implementação Backend - Vincular alunos a turmas;Realizar implementação backend para a funcionalidade: Vincular alunos a turmas;High;Done;Carlos Mendes;João Santos;EPIC-3;Sprint 3;;task,implementação-backend;2026-01-31;2026-02-16;7h;6h;Module-3
FREQ-133;Task;Implementação Frontend Web - Vincular alunos a turmas;Realizar implementação frontend web para a funcionalidade: Vincular alunos a turmas;High;Done;Beatriz Costa;João Santos;EPIC-3;Sprint 3;;task,implementação-frontend-web;2026-01-31;2026-02-16;6h;5h;Module-3
FREQ-134;Task;Testes Unitários - Vincular alunos a turmas;Realizar testes unitários para a funcionalidade: Vincular alunos a turmas;High;Done;Rafael Lima;João Santos;EPIC-3;Sprint 3;;task,testes-unitários;2026-01-31;2026-02-16;3h;3h;Module-3
FREQ-135;Task;Code Review - Vincular alunos a turmas;Realizar code review para a funcionalidade: Vincular alunos a turmas;High;Done;Ana Oliveira;João Santos;EPIC-3;Sprint 3;;task,code-review;2026-01-31;2026-02-16;4h;3h;Module-3
FREQ-136;Story;Vincular professores a disciplinas;Como usuário, eu quero vincular professores a disciplinas para melhorar a experiência com o app de frequência acadêmica.;High;Done;Pedro Almeida;Maria Silva;EPIC-3;Sprint 3;2;sprint-3,epic-3;2026-01-28;2026-02-16;16h;12h;Module-3
FREQ-137;Task;Design UI/UX - Vincular professores a disciplinas;Realizar design ui/ux para a funcionalidade: Vincular professores a disciplinas;High;Done;Juliana Souza;João Santos;EPIC-3;Sprint 3;;task,design-ui/ux;2026-01-29;2026-02-16;4h;3h;Module-3
FREQ-138;Task;Implementação Backend - Vincular professores a disciplinas;Realizar implementação backend para a funcionalidade: Vincular professores a disciplinas;High;Done;Carlos Mendes;João Santos;EPIC-3;Sprint 3;;task,implementação-backend;2026-01-29;2026-02-16;4h;4h;Module-3
FREQ-139;Task;Implementação Frontend Web - Vincular professores a disciplinas;Realizar implementação frontend web para a funcionalidade: Vincular professores a disciplinas;High;Done;Beatriz Costa;João Santos;EPIC-3;Sprint 3;;task,implementação-frontend-web;2026-01-29;2026-02-16;4h;3h;Module-3
FREQ-140;Task;Testes Unitários - Vincular professores a disciplinas;Realizar testes unitários para a funcionalidade: Vincular professores a disciplinas;High;Done;Rafael Lima;João Santos;EPIC-3;Sprint 3;;task,testes-unitários;2026-01-29;2026-02-16;2h;2h;Module-3
FREQ-141;Task;Code Review - Vincular professores a disciplinas;Realizar code review para a funcionalidade: Vincular professores a disciplinas;High;Done;Ana Oliveira;João Santos;EPIC-3;Sprint 3;;task,code-review;2026-01-29;2026-02-16;4h;3h;Module-3
FREQ-142;Story;Calendário acadêmico;Como usuário, eu quero calendário acadêmico para melhorar a experiência com o app de frequência acadêmica.;Medium;In Progress;Pedro Almeida;Maria Silva;EPIC-3;Sprint 3;5;sprint-3,epic-3;2026-01-25;2026-02-16;40h;;Module-3
FREQ-143;Task;Design UI/UX - Calendário acadêmico;Realizar design ui/ux para a funcionalidade: Calendário acadêmico;Medium;To Do;Juliana Souza;João Santos;EPIC-3;Sprint 3;;task,design-ui/ux;2026-01-26;2026-02-16;4h;;Module-3
FREQ-144;Task;Implementação Backend - Calendário acadêmico;Realizar implementação backend para a funcionalidade: Calendário acadêmico;Medium;To Do;Carlos Mendes;João Santos;EPIC-3;Sprint 3;;task,implementação-backend;2026-01-26;2026-02-16;12h;;Module-3
FREQ-145;Task;Implementação Frontend Web - Calendário acadêmico;Realizar implementação frontend web para a funcionalidade: Calendário acadêmico;Medium;To Do;Beatriz Costa;João Santos;EPIC-3;Sprint 3;;task,implementação-frontend-web;2026-01-26;2026-02-16;10h;;Module-3
FREQ-146;Task;Implementação Mobile - Calendário acadêmico;Realizar implementação mobile para a funcionalidade: Calendário acadêmico;Medium;Done;Pedro Almeida;João Santos;EPIC-3;Sprint 3;;task,implementação-mobile;2026-01-26;2026-02-16;10h;8h;Module-3
FREQ-147;Task;Testes Unitários - Calendário acadêmico;Realizar testes unitários para a funcionalidade: Calendário acadêmico;Medium;Done;Rafael Lima;João Santos;EPIC-3;Sprint 3;;task,testes-unitários;2026-01-26;2026-02-16;6h;5h;Module-3
FREQ-148;Task;Testes E2E - Calendário acadêmico;Realizar testes e2e para a funcionalidade: Calendário acadêmico;Medium;Done;Rafael Lima;João Santos;EPIC-3;Sprint 3;;task,testes-e2e;2026-01-26;2026-02-16;6h;5h;Module-3
FREQ-149;Task;Code Review - Calendário acadêmico;Realizar code review para a funcionalidade: Calendário acadêmico;Medium;In Progress;Ana Oliveira;João Santos;EPIC-3;Sprint 3;;task,code-review;2026-01-26;2026-02-16;4h;;Module-3
FREQ-150;Story;Lista de alunos por turma;Como usuário, eu quero lista de alunos por turma para melhorar a experiência com o app de frequência acadêmica.;Medium;Done;Carlos Mendes;Maria Silva;EPIC-3;Sprint 3;2;sprint-3,epic-3;2026-01-30;2026-02-16;16h;12h;Module-3
FREQ-151;Task;Design UI/UX - Lista de alunos por turma;Realizar design ui/ux para a funcionalidade: Lista de alunos por turma;Medium;Done;Juliana Souza;João Santos;EPIC-3;Sprint 3;;task,design-ui/ux;2026-01-31;2026-02-16;4h;3h;Module-3
FREQ-152;Task;Implementação Backend - Lista de alunos por turma;Realizar implementação backend para a funcionalidade: Lista de alunos por turma;Medium;Done;Carlos Mendes;João Santos;EPIC-3;Sprint 3;;task,implementação-backend;2026-01-31;2026-02-16;4h;4h;Module-3
FREQ-153;Task;Implementação Frontend Web - Lista de alunos por turma;Realizar implementação frontend web para a funcionalidade: Lista de alunos por turma;Medium;Done;Beatriz Costa;João Santos;EPIC-3;Sprint 3;;task,implementação-frontend-web;2026-01-31;2026-02-16;4h;3h;Module-3
FREQ-154;Task;Testes Unitários - Lista de alunos por turma;Realizar testes unitários para a funcionalidade: Lista de alunos por turma;Medium;Done;Rafael Lima;João Santos;EPIC-3;Sprint 3;;task,testes-unitários;2026-01-31;2026-02-16;2h;2h;Module-3
FREQ-155;Task;Code Review - Lista de alunos por turma;Realizar code review para a funcionalidade: Lista de alunos por turma;Medium;Done;Ana Oliveira;João Santos;EPIC-3;Sprint 3;;task,code-review;2026-01-31;2026-02-16;4h;3h;Module-3
FREQ-156;Story;Importação em lote (CSV);Como usuário, eu quero importação em lote (csv) para melhorar a experiência com o app de frequência acadêmica.;Low;To Do;Beatriz Costa;Maria Silva;EPIC-3;Sprint 4;5;sprint-4,epic-3;2026-02-11;2026-03-02;40h;;Module-3
FREQ-157;Task;Design UI/UX - Importação em lote (CSV);Realizar design ui/ux para a funcionalidade: Importação em lote (CSV);Low;To Do;Juliana Souza;João Santos;EPIC-3;Sprint 4;;task,design-ui/ux;2026-02-12;2026-03-02;4h;;Module-3
FREQ-158;Task;Implementação Backend - Importação em lote (CSV);Realizar implementação backend para a funcionalidade: Importação em lote (CSV);Low;To Do;Carlos Mendes;João Santos;EPIC-3;Sprint 4;;task,implementação-backend;2026-02-12;2026-03-02;12h;;Module-3
FREQ-159;Task;Implementação Frontend Web - Importação em lote (CSV);Realizar implementação frontend web para a funcionalidade: Importação em lote (CSV);Low;To Do;Beatriz Costa;João Santos;EPIC-3;Sprint 4;;task,implementação-frontend-web;2026-02-12;2026-03-02;10h;;Module-3
FREQ-160;Task;Implementação Mobile - Importação em lote (CSV);Realizar implementação mobile para a funcionalidade: Importação em lote (CSV);Low;To Do;Pedro Almeida;João Santos;EPIC-3;Sprint 4;;task,implementação-mobile;2026-02-12;2026-03-02;10h;;Module-3
FREQ-161;Task;Testes Unitários - Importação em lote (CSV);Realizar testes unitários para a funcionalidade: Importação em lote (CSV);Low;To Do;Rafael Lima;João Santos;EPIC-3;Sprint 4;;task,testes-unitários;2026-02-12;2026-03-02;6h;;Module-3
FREQ-162;Task;Testes E2E - Importação em lote (CSV);Realizar testes e2e para a funcionalidade: Importação em lote (CSV);Low;To Do;Rafael Lima;João Santos;EPIC-3;Sprint 4;;task,testes-e2e;2026-02-12;2026-03-02;6h;;Module-3
FREQ-163;Task;Code Review - Importação em lote (CSV);Realizar code review para a funcionalidade: Importação em lote (CSV);Low;To Do;Ana Oliveira;João Santos;EPIC-3;Sprint 4;;task,code-review;2026-02-12;2026-03-02;4h;;Module-3
FREQ-164;Story;Dashboard de frequência do aluno;Como usuário, eu quero dashboard de frequência do aluno para melhorar a experiência com o app de frequência acadêmica.;High;In Progress;Beatriz Costa;Maria Silva;EPIC-4;Sprint 4;8;sprint-4,epic-4;2026-02-14;2026-03-02;64h;;Module-4
FREQ-165;Task;Design UI/UX - Dashboard de frequência do aluno;Realizar design ui/ux para a funcionalidade: Dashboard de frequência do aluno;High;Done;Juliana Souza;João Santos;EPIC-4;Sprint 4;;task,design-ui/ux;2026-02-15;2026-03-02;4h;3h;Module-4
FREQ-166;Task;Implementação Backend - Dashboard de frequência do aluno;Realizar implementação backend para a funcionalidade: Dashboard de frequência do aluno;High;Done;Carlos Mendes;João Santos;EPIC-4;Sprint 4;;task,implementação-backend;2026-02-15;2026-03-02;19h;16h;Module-4
FREQ-167;Task;Implementação Frontend Web - Dashboard de frequência do aluno;Realizar implementação frontend web para a funcionalidade: Dashboard de frequência do aluno;High;In Progress;Beatriz Costa;João Santos;EPIC-4;Sprint 4;;task,implementação-frontend-web;2026-02-15;2026-03-02;16h;;Module-4
FREQ-168;Task;Implementação Mobile - Dashboard de frequência do aluno;Realizar implementação mobile para a funcionalidade: Dashboard de frequência do aluno;High;To Do;Pedro Almeida;João Santos;EPIC-4;Sprint 4;;task,implementação-mobile;2026-02-15;2026-03-02;16h;;Module-4
FREQ-169;Task;Testes Unitários - Dashboard de frequência do aluno;Realizar testes unitários para a funcionalidade: Dashboard de frequência do aluno;High;Done;Rafael Lima;João Santos;EPIC-4;Sprint 4;;task,testes-unitários;2026-02-15;2026-03-02;9h;8h;Module-4
FREQ-170;Task;Testes E2E - Dashboard de frequência do aluno;Realizar testes e2e para a funcionalidade: Dashboard de frequência do aluno;High;Done;Rafael Lima;João Santos;EPIC-4;Sprint 4;;task,testes-e2e;2026-02-15;2026-03-02;9h;8h;Module-4
FREQ-171;Task;Code Review - Dashboard de frequência do aluno;Realizar code review para a funcionalidade: Dashboard de frequência do aluno;High;Done;Ana Oliveira;João Santos;EPIC-4;Sprint 4;;task,code-review;2026-02-15;2026-03-02;4h;3h;Module-4
FREQ-172;Task;Documentação - Dashboard de frequência do aluno;Realizar documentação para a funcionalidade: Dashboard de frequência do aluno;High;Done;João Santos;João Santos;EPIC-4;Sprint 4;;task,documentação;2026-02-15;2026-03-02;8h;7h;Module-4
FREQ-173;Story;Dashboard do professor com visão turma;Como usuário, eu quero dashboard do professor com visão turma para melhorar a experiência com o app de frequência acadêmica.;High;To Do;Beatriz Costa;Maria Silva;EPIC-4;Sprint 4;8;sprint-4,epic-4;2026-02-10;2026-03-02;64h;;Module-4
FREQ-174;Task;Design UI/UX - Dashboard do professor com visão turma;Realizar design ui/ux para a funcionalidade: Dashboard do professor com visão turma;High;To Do;Juliana Souza;João Santos;EPIC-4;Sprint 4;;task,design-ui/ux;2026-02-11;2026-03-02;4h;;Module-4
FREQ-175;Task;Implementação Backend - Dashboard do professor com visão turma;Realizar implementação backend para a funcionalidade: Dashboard do professor com visão turma;High;To Do;Carlos Mendes;João Santos;EPIC-4;Sprint 4;;task,implementação-backend;2026-02-11;2026-03-02;19h;;Module-4
FREQ-176;Task;Implementação Frontend Web - Dashboard do professor com visão turma;Realizar implementação frontend web para a funcionalidade: Dashboard do professor com visão turma;High;To Do;Beatriz Costa;João Santos;EPIC-4;Sprint 4;;task,implementação-frontend-web;2026-02-11;2026-03-02;16h;;Module-4
FREQ-177;Task;Implementação Mobile - Dashboard do professor com visão turma;Realizar implementação mobile para a funcionalidade: Dashboard do professor com visão turma;High;To Do;Pedro Almeida;João Santos;EPIC-4;Sprint 4;;task,implementação-mobile;2026-02-11;2026-03-02;16h;;Module-4
FREQ-178;Task;Testes Unitários - Dashboard do professor com visão turma;Realizar testes unitários para a funcionalidade: Dashboard do professor com visão turma;High;To Do;Rafael Lima;João Santos;EPIC-4;Sprint 4;;task,testes-unitários;2026-02-11;2026-03-02;9h;;Module-4
FREQ-179;Task;Testes E2E - Dashboard do professor com visão turma;Realizar testes e2e para a funcionalidade: Dashboard do professor com visão turma;High;To Do;Rafael Lima;João Santos;EPIC-4;Sprint 4;;task,testes-e2e;2026-02-11;2026-03-02;9h;;Module-4
FREQ-180;Task;Code Review - Dashboard do professor com visão turma;Realizar code review para a funcionalidade: Dashboard do professor com visão turma;High;To Do;Ana Oliveira;João Santos;EPIC-4;Sprint 4;;task,code-review;2026-02-11;2026-03-02;4h;;Module-4
FREQ-181;Task;Documentação - Dashboard do professor com visão turma;Realizar documentação para a funcionalidade: Dashboard do professor com visão turma;High;To Do;João Santos;João Santos;EPIC-4;Sprint 4;;task,documentação;2026-02-11;2026-03-02;8h;;Module-4
FREQ-182;Story;Relatório de faltas por disciplina;Como usuário, eu quero relatório de faltas por disciplina para melhorar a experiência com o app de frequência acadêmica.;Medium;In Progress;Carlos Mendes;Maria Silva;EPIC-4;Sprint 4;5;sprint-4,epic-4;2026-02-14;2026-03-02;40h;;Module-4
FREQ-183;Task;Design UI/UX - Relatório de faltas por disciplina;Realizar design ui/ux para a funcionalidade: Relatório de faltas por disciplina;Medium;To Do;Juliana Souza;João Santos;EPIC-4;Sprint 4;;task,design-ui/ux;2026-02-15;2026-03-02;4h;;Module-4
FREQ-184;Task;Implementação Backend - Relatório de faltas por disciplina;Realizar implementação backend para a funcionalidade: Relatório de faltas por disciplina;Medium;In Progress;Carlos Mendes;João Santos;EPIC-4;Sprint 4;;task,implementação-backend;2026-02-15;2026-03-02;12h;;Module-4
FREQ-185;Task;Implementação Frontend Web - Relatório de faltas por disciplina;Realizar implementação frontend web para a funcionalidade: Relatório de faltas por disciplina;Medium;Done;Beatriz Costa;João Santos;EPIC-4;Sprint 4;;task,implementação-frontend-web;2026-02-15;2026-03-02;10h;8h;Module-4
FREQ-186;Task;Implementação Mobile - Relatório de faltas por disciplina;Realizar implementação mobile para a funcionalidade: Relatório de faltas por disciplina;Medium;To Do;Pedro Almeida;João Santos;EPIC-4;Sprint 4;;task,implementação-mobile;2026-02-15;2026-03-02;10h;;Module-4
FREQ-187;Task;Testes Unitários - Relatório de faltas por disciplina;Realizar testes unitários para a funcionalidade: Relatório de faltas por disciplina;Medium;Done;Rafael Lima;João Santos;EPIC-4;Sprint 4;;task,testes-unitários;2026-02-15;2026-03-02;6h;5h;Module-4
FREQ-188;Task;Testes E2E - Relatório de faltas por disciplina;Realizar testes e2e para a funcionalidade: Relatório de faltas por disciplina;Medium;In Progress;Rafael Lima;João Santos;EPIC-4;Sprint 4;;task,testes-e2e;2026-02-15;2026-03-02;6h;;Module-4
FREQ-189;Task;Code Review - Relatório de faltas por disciplina;Realizar code review para a funcionalidade: Relatório de faltas por disciplina;Medium;In Progress;Ana Oliveira;João Santos;EPIC-4;Sprint 4;;task,code-review;2026-02-15;2026-03-02;4h;;Module-4
FREQ-190;Story;Gráficos de presença (mensal/semestral);Como usuário, eu quero gráficos de presença (mensal/semestral) para melhorar a experiência com o app de frequência acadêmica.;Medium;To Do;Pedro Almeida;Maria Silva;EPIC-4;Sprint 4;5;sprint-4,epic-4;2026-02-09;2026-03-02;40h;;Module-4
FREQ-191;Task;Design UI/UX - Gráficos de presença (mensal/semestral);Realizar design ui/ux para a funcionalidade: Gráficos de presença (mensal/semestral);Medium;To Do;Juliana Souza;João Santos;EPIC-4;Sprint 4;;task,design-ui/ux;2026-02-10;2026-03-02;4h;;Module-4
FREQ-192;Task;Implementação Backend - Gráficos de presença (mensal/semestral);Realizar implementação backend para a funcionalidade: Gráficos de presença (mensal/semestral);Medium;To Do;Carlos Mendes;João Santos;EPIC-4;Sprint 4;;task,implementação-backend;2026-02-10;2026-03-02;12h;;Module-4
FREQ-193;Task;Implementação Frontend Web - Gráficos de presença (mensal/semestral);Realizar implementação frontend web para a funcionalidade: Gráficos de presença (mensal/semestral);Medium;To Do;Beatriz Costa;João Santos;EPIC-4;Sprint 4;;task,implementação-frontend-web;2026-02-10;2026-03-02;10h;;Module-4
FREQ-194;Task;Implementação Mobile - Gráficos de presença (mensal/semestral);Realizar implementação mobile para a funcionalidade: Gráficos de presença (mensal/semestral);Medium;To Do;Pedro Almeida;João Santos;EPIC-4;Sprint 4;;task,implementação-mobile;2026-02-10;2026-03-02;10h;;Module-4
FREQ-195;Task;Testes Unitários - Gráficos de presença (mensal/semestral);Realizar testes unitários para a funcionalidade: Gráficos de presença (mensal/semestral);Medium;To Do;Rafael Lima;João Santos;EPIC-4;Sprint 4;;task,testes-unitários;2026-02-10;2026-03-02;6h;;Module-4
FREQ-196;Task;Testes E2E - Gráficos de presença (mensal/semestral);Realizar testes e2e para a funcionalidade: Gráficos de presença (mensal/semestral);Medium;To Do;Rafael Lima;João Santos;EPIC-4;Sprint 4;;task,testes-e2e;2026-02-10;2026-03-02;6h;;Module-4
FREQ-197;Task;Code Review - Gráficos de presença (mensal/semestral);Realizar code review para a funcionalidade: Gráficos de presença (mensal/semestral);Medium;To Do;Ana Oliveira;João Santos;EPIC-4;Sprint 4;;task,code-review;2026-02-10;2026-03-02;4h;;Module-4
FREQ-198;Story;Exportar relatório PDF;Como usuário, eu quero exportar relatório pdf para melhorar a experiência com o app de frequência acadêmica.;Medium;In Progress;Pedro Almeida;Maria Silva;EPIC-4;Sprint 4;3;sprint-4,epic-4;2026-02-09;2026-03-02;24h;;Module-4
FREQ-199;Task;Design UI/UX - Exportar relatório PDF;Realizar design ui/ux para a funcionalidade: Exportar relatório PDF;Medium;Done;Juliana Souza;João Santos;EPIC-4;Sprint 4;;task,design-ui/ux;2026-02-10;2026-03-02;4h;3h;Module-4
FREQ-200;Task;Implementação Backend - Exportar relatório PDF;Realizar implementação backend para a funcionalidade: Exportar relatório PDF;Medium;Done;Carlos Mendes;João Santos;EPIC-4;Sprint 4;;task,implementação-backend;2026-02-10;2026-03-02;7h;6h;Module-4
FREQ-201;Task;Implementação Frontend Web - Exportar relatório PDF;Realizar implementação frontend web para a funcionalidade: Exportar relatório PDF;Medium;In Progress;Beatriz Costa;João Santos;EPIC-4;Sprint 4;;task,implementação-frontend-web;2026-02-10;2026-03-02;6h;;Module-4
FREQ-202;Task;Testes Unitários - Exportar relatório PDF;Realizar testes unitários para a funcionalidade: Exportar relatório PDF;Medium;To Do;Rafael Lima;João Santos;EPIC-4;Sprint 4;;task,testes-unitários;2026-02-10;2026-03-02;3h;;Module-4
FREQ-203;Task;Code Review - Exportar relatório PDF;Realizar code review para a funcionalidade: Exportar relatório PDF;Medium;To Do;Ana Oliveira;João Santos;EPIC-4;Sprint 4;;task,code-review;2026-02-10;2026-03-02;4h;;Module-4
FREQ-204;Story;Exportar relatório Excel;Como usuário, eu quero exportar relatório excel para melhorar a experiência com o app de frequência acadêmica.;Low;To Do;Beatriz Costa;Maria Silva;EPIC-4;Sprint 5;3;sprint-5,epic-4;2026-02-28;2026-03-16;24h;;Module-4
FREQ-205;Task;Design UI/UX - Exportar relatório Excel;Realizar design ui/ux para a funcionalidade: Exportar relatório Excel;Low;To Do;Juliana Souza;João Santos;EPIC-4;Sprint 5;;task,design-ui/ux;2026-03-01;2026-03-16;4h;;Module-4
FREQ-206;Task;Implementação Backend - Exportar relatório Excel;Realizar implementação backend para a funcionalidade: Exportar relatório Excel;Low;To Do;Carlos Mendes;João Santos;EPIC-4;Sprint 5;;task,implementação-backend;2026-03-01;2026-03-16;7h;;Module-4
